site,sp,date,time,source,n_detections_per_site_date_time,obs
site-i,pig,2023-08-28,7:00:00 PM,ct,15,
site-i,pig,2023-08-28,8:00:00 PM,ct,5,
site-i,pig,2023-08-30,8:00:00 PM,ct,55,
site-i,pig,2023-09-01,6:00:00 PM,ct,10,
site-i,pig,2023-09-01,7:00:00 PM,ct,45,
site-i,pig,2023-09-03,8:00:00 PM,ct,5,
site-i,pig,2023-09-03,9:00:00 PM,ct,130,
site-j,pig,2023-09-05,3:00:00 AM,ct,84,
site-j,pig,2023-09-05,4:00:00 AM,ct,24,
site-f,pig,2023-09-08,7:00:00 PM,ct,40,
site-j,pig,2023-09-10,6:00:00 AM,ct,215,
site-j,pig,2023-09-10,7:00:00 AM,ct,352,
site-j,pig,2023-09-11,5:00:00 AM,ct,5,
site-j,pig,2023-09-17,5:00:00 PM,ct,15,
site-j,pig,2023-09-20,9:00:00 AM,ct,35,
site-i,pig,2023-10-11,12:00:00 AM,ct,100,
site-a,pig,2023-11-16,3:00:00 AM,ct,25,
site-a,pig,2023-11-19,8:00:00 PM,ct,5,
site-f,pig,2023-11-26,6:00:00 AM,ct,10,
site-d,pig,2023-12-03,7:00:00 AM,ct,10,
site-b,pig,2024-01-04,8:03:00 PM,ct,25,
site-b,pig,2024-01-07,12:51:00 AM,ct,15,
site-b,pig,2024-01-13,10:18:00 AM,ct,10,
site-b,pig,2024-01-27,8:33:00 PM,ct,10,
site-b,pig,2024-06-12,10:13:00 AM,ct,5,
site-b,pig,2024-06-13,7:56:00 PM,ct,35,
site-d,pig,2024-02-07,3:06:00 PM,ct,10,
site-d,pig,2024-02-08,3:20:00 AM,ct,20,
site-d,pig,2024-02-27,10:06:00 AM,ct,15,
site-d,pig,2024-03-02,4:45:00 AM,ct,45,
site-d,pig,2024-03-13,6:07:00 AM,ct,15,
site-d,pig,2024-03-17,9:33:00 AM,ct,15,
site-d,pig,2024-03-30,4:00:00 PM,ct,45,
site-d,pig,2024-03-31,7:30:00 AM,ct,105,
site-d,pig,2024-06-24,12:47:00 PM,ct,5,
site-d,pig,2024-07-27,5:33:00 PM,ct,10,
site-e,pig,2024-02-25,5:56:00 PM,ct,70,
site-e,pig,2024-03-18,5:52:00 PM,ct,35,
site-e,pig,2024-03-18,6:35:00 PM,ct,15,some really good example calls
site-e,pig,2024-04-19,8:52:00 AM,ct,15,
site-e,pig,2024-05-17,3:41:00 PM,ct,25,
site-e,pig,2024-05-19,12:59:00 PM,ct,55,
site-e,pig,2024-07-08,10:59:00 AM,ct,70,
site-g,pig,2024-01-08,9:07:00 AM,ct,5,
site-g,pig,2024-05-08,8:45:00 PM,ct,20,
site-h,pig,2024-05-26,7:26:00 PM,ct,25,
site-i,pig,2024-02-25,5:06:00 PM,ct,55,
site-i,pig,2024-03-12,12:14:00 PM,ct,20,
site-i,pig,2024-05-22,4:05:00 PM,ct,10,
site-i,pig,2024-07-08,9:13:00 AM,ct,10,
site-i,pig,2024-07-17,7:02:00 AM,ct,5,
site-i,pig,2024-07-30,2:20:00 AM,ct,10,
