ungulate.sign.north,ungulate.sign.east,ungulate.sign.south,ungulate.sign.west,tree.height.north,tree.height.east,tree.height.south,tree.height.west,tree.cover.north,tree.cover.east,tree.cover.south,tree.cover.west,shrub.height.north,shrub.height.east,shrub.height.south,shrub.height.west,shrub.cover.north,shrub.cover.east,shrub.cover.south,shrub.cover.west,ground.cover.forbs.north,ground.cover.forbs.east,ground.cover.forbs.south,ground.cover.forbs.west,ground.cover.grass.north,ground.cover.grass.east,ground.cover.grass.south,ground.cover.grass.west,ground.cover.bare.soil.north,ground.cover.bare.soil.east,ground.cover.bare.soil.south,ground.cover.bare.soil.west,ground.cover.litter.north,ground.cover.litter.east,ground.cover.litter.south,ground.cover.litter.west,comments,point
0,0,0,0,20,21,15,15,40,30,35,40,4,4,2,1.5,10,10,5,5,2,5,3,0,5,10,15,5,93,80,70,85,0,5,12,10,power line and drainage lines trying to fin the brood frog. Very recently burnt so fire succession will also be interesting,bar-l
high,low,0,mid-high,15,15,10,10,50,45,30,20,5,1.5,4,4,10,2,90,25,0,0,2,0,0,10,0,0,0,0,0,75,100,90,98,25,swamp of death - it was a trap site initially but decided to keep the bar since it seems to be a good place that pigs would hang out. 256gb sd card in camera trap,bar-i
0,0,0,low,15,20,20,25,15,30,40,30,2,3,0,3,5,15,0,15,40,80,0,15,40,10,95,80,0,0,0,0,20,10,5,5,heaps of pigs signs close to the water (approx 4m from the bar),bar-h
0,0,0,mid,1,10,10,10,16,15,20,10,20,3,2,2,1.5,2.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Site has been recently burnt so no ground cover or shrubs. Burnt patch - 100m diameter surrounding grassy veg converging cattle pads down to creek, decent sized stagnant pool, also tracks in creek bed, probably cattle, no pig.",bar-g
mid,mid,low,low-mid,9,8,9,9,15,40,30,20,3,1.5,1.5,3,10,30,5,5,40,40,50,40,35,50,45,50,0,0,0,0,25,10,5,10,"the litter on ground cover norht is from animal track. BAR placed at junction of animal tracks N-S along creek should, W-E down to creek, flattened patch among shrubs immediately to the north, patches of flattened grass along shoulder N-S, also some dug-out bits onf track down to creek (E of BAR) and moderate digging along creek edge next to some water in channel.",bar-f
0,low,0,0,12,8,16,9,5,30,10,1,2,2,4,4,5,5,15,2,1,2,1,1,89,95,95,87,10,0,0,15,0,3,4,2,"low sign along creek edge. On shoulder at junction of several tracks (cattle along shoulder, perhaps pig down to creek). About 10m elevation above creek bed halfway up bank",bar-e
low,low,low,low,10,12,10,12,50,35,45,25,5,2,3,5,30,5,20,50,0,0,0,0,10,35,50,40,0,30,20,40,90,35,30,20,pigs sign around,bar-d
0,0,0,0,10,12,5.5,5.5,10,50,5,10,1.5,2,2,2,80,50,5,5,0,5,0,10,0,35,50,80,50,0,20,0,50,60,30,10,NA,bar-c
0,0,0,0,8,20,16,20,10,25,20,30,4,3,3,3,25,100,80,100,6,6,10,5,0,0,5,10,0,0,10,0,0,0,75,75,"burnt shrubs. About 8m above creek bed, high pig digging on southern end of creek bed, no water here but pig digging continue to significant water approx 50m west. BAR sits in burnt patch above animal track goes down",bar-b
0,0,0,0,15,20,18,12,25,35,60,15,4,5,2,2,10,15,10,5,35,3,5,15,20,20,23,40,0,10,0,0,45,65,75,45,NA,bar-a
high,high-mid,0,low,8,10,10,0,1,2,10,0,0,5,4,5,0,50,70,10,2,1,0,0,25,5,0,10,73,85,98,88,0,0,2,2,"edge of completely dug up lagoon/side channel, main channel  approx 20 m from western end of lagoon, burnt patch southern side of lagoon",bar-b2
